name,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,emb_10,emb_11,emb_12,emb_13,emb_14,emb_15,emb_16,emb_17,emb_18,emb_19,emb_20,emb_21,emb_22,emb_23,emb_24,emb_25,emb_26,emb_27,emb_28,emb_29,emb_30,emb_31,emb_32,emb_33,emb_34,emb_35,emb_36,emb_37,emb_38,emb_39,emb_40,emb_41,emb_42,emb_43,emb_44,emb_45,emb_46,emb_47,emb_48,emb_49,emb_50,emb_51,emb_52,emb_53,emb_54,emb_55,emb_56,emb_57,emb_58,emb_59,emb_60,emb_61,emb_62,emb_63,emb_64,emb_65,emb_66,emb_67,emb_68,emb_69,emb_70,emb_71,emb_72,emb_73,emb_74,emb_75,emb_76,emb_77,emb_78,emb_79,emb_80,emb_81,emb_82,emb_83,emb_84,emb_85,emb_86,emb_87,emb_88,emb_89,emb_90,emb_91,emb_92,emb_93,emb_94,emb_95,emb_96,emb_97,emb_98,emb_99,emb_100,emb_101,emb_102,emb_103,emb_104,emb_105,emb_106,emb_107,emb_108,emb_109,emb_110,emb_111,emb_112,emb_113,emb_114,emb_115,emb_116,emb_117,emb_118,emb_119,emb_120,emb_121,emb_122,emb_123,emb_124,emb_125,emb_126,emb_127
ag,-0.0959040895104408,0.0721310228109359,0.0914080291986465,0.0135269816964864,0.0693777203559875,-0.0717431306838989,-0.0773955807089805,0.1044150590896606,-0.0156488772481679,-0.1148471981287002,-0.0608419440686702,-0.0191941689699888,-0.1181258112192154,-0.004712423775345,0.0504042543470859,0.0588195361196994,-0.0671475231647491,0.0647555962204933,0.0771452113986015,0.0456623956561088,0.1394484192132949,0.0364183336496353,-0.0838286876678466,-0.0805246755480766,-0.1397085487842559,-0.008464140817523,-0.1223568022251129,0.131539911031723,-0.1310783177614212,-0.0663686692714691,0.0848399773240089,0.0201815627515316,0.03455750644207,-0.0524370893836021,0.1126999408006668,0.0572093054652214,0.139725774526596,-0.1199672818183898,-0.0881727412343025,0.0332110673189163,0.0412159636616706,0.0183773972094059,0.0836424902081489,0.0485732816159725,0.0538665391504764,-0.0205971822142601,-0.1153045147657394,0.0801806822419166,-0.1396817564964294,-0.0371193513274192,0.073197066783905,-0.0094683216884732,0.0905365943908691,-0.1073424741625785,0.0887705460190773,0.0501667521893978,-0.0482049025595188,-0.1211679056286811,-0.1002388820052146,0.1016243323683738,0.055714089423418,-0.1019747331738472,0.1339114606380462,-0.1389925479888916,0.121192380785942,0.1369842141866684,-0.0733305811882019,0.1159778460860252,-0.1064282804727554,-0.1184301525354385,0.1196379959583282,0.1306763738393783,0.0703608021140098,0.0471655614674091,-0.0583612360060215,-0.090707927942276,0.0152144758030772,-0.0965207815170288,-0.1378733366727829,0.0379229187965393,0.0753926634788513,0.0588458329439163,0.1318688988685608,0.1303134709596634,0.0186150185763835,-0.0867537632584571,-0.0397310815751552,-0.0622118972241878,0.1215206384658813,-0.0362441055476665,-0.0030493813101202,0.0038164167199283,-0.1006200760602951,0.1285225600004196,0.036868792027235,-0.0687842965126037,-0.0882444605231285,-0.0939917936921119,-0.1385385543107986,0.0436837598681449,0.1367027908563614,0.0853687077760696,-0.1358522772789001,0.1208719387650489,-0.1014106199145317,-0.1310513168573379,0.0530421696603298,-0.0497054830193519,-0.0195983238518238,0.0598978884518146,0.059138000011444,0.1353227496147155,0.127911239862442,-0.0969455167651176,-0.0497164689004421,0.0816650241613388,0.0855891928076744,-0.0429585017263889,-0.0384001359343528,-0.1072832122445106,-0.0489274635910987,-0.1294610053300857,-0.0777102783322334,0.0518215484917163,-0.0647395551204681,0.1227605864405632,0.125672310590744,0.0113077750429511
ag,-0.0959051549434661,0.0721310228109359,0.0914104580879211,0.0135246096178889,0.0693802759051323,-0.0717373937368393,-0.0773904249072074,0.1044118180871009,-0.0156470071524381,-0.1148522347211837,-0.0608338266611099,-0.0191875491291284,-0.1181304305791854,-0.0047201397828757,0.0504035800695419,0.0588252209126949,-0.0671446323394775,0.0647528618574142,0.0771503821015358,0.0456641651690006,0.1394504159688949,0.0364184901118278,-0.083822950720787,-0.0805228725075721,-0.1397079676389694,-0.0084660407155752,-0.1223556697368621,0.1315530389547348,-0.1310787200927734,-0.0663701742887497,0.0848414152860641,0.0201790072023868,0.0345648117363452,-0.0524368807673454,0.1127057000994682,0.0572114735841751,0.1397281885147094,-0.1199680864810943,-0.0881789326667785,0.0332083813846111,0.0412191897630691,0.0183804854750633,0.0836386680603027,0.0485708713531494,0.0538649782538414,-0.0205972865223884,-0.1153011843562126,0.0801906287670135,-0.139678880572319,-0.0371211655437946,0.0732032135128974,-0.0094677787274122,0.0905379801988601,-0.1073323041200637,0.0887703150510788,0.050160963088274,-0.0482054501771926,-0.1211754903197288,-0.1002370938658714,0.1016236022114753,0.0557192675769329,-0.1019766926765441,0.1339059174060821,-0.1390008628368377,0.1211899444460868,0.1369902044534683,-0.0733324289321899,0.1159763187170028,-0.1064267382025718,-0.1184208691120147,0.1196400225162506,0.1306697577238083,0.0703550353646278,0.0471671409904956,-0.0583593063056468,-0.0907072275876998,0.0152188884094357,-0.0965261310338974,-0.1378605514764785,0.0379195809364318,0.0753870531916618,0.0588422790169715,0.1318699717521667,0.13032166659832,0.0186201073229312,-0.086759902536869,-0.0397366248071193,-0.0622152723371982,0.1215088590979576,-0.0362387113273143,-0.003046709112823,0.0038174784276634,-0.1006122604012489,0.1285221725702285,0.0368732288479805,-0.0687859803438186,-0.088241271674633,-0.0939900130033493,-0.1385422348976135,0.0436849892139434,0.1367065459489822,0.0853734239935875,-0.1358499526977539,0.1208730414509773,-0.1014109328389167,-0.131049633026123,0.0530451014637947,-0.04970034211874,-0.0195965021848678,0.0598965734243392,0.0591362044215202,0.1353215426206588,0.1279110312461853,-0.0969502329826355,-0.0497111342847347,0.0816599130630493,0.0855947285890579,-0.0429602526128292,-0.0383962653577327,-0.1072798892855644,-0.0489234924316406,-0.1294618546962738,-0.0777091234922409,0.0518223717808723,-0.0647489354014396,0.1227529495954513,0.1256730556488037,0.0113135017454624
ag,-0.095899760723114,0.0721295997500419,0.0914102867245674,0.013525509275496,0.0693743750452995,-0.0717442035675048,-0.0773939490318298,0.1044141724705696,-0.0156476907432079,-0.1148491650819778,-0.0608379356563091,-0.0191922765225172,-0.1181281581521034,-0.0047183334827423,0.0503984615206718,0.0588200949132442,-0.0671460628509521,0.0647542178630828,0.0771456062793731,0.0456668250262737,0.1394501775503158,0.0364145897328853,-0.0838231518864631,-0.0805273056030273,-0.1397047638893127,-0.0084692994132637,-0.1223585233092308,0.1315410286188125,-0.1310756653547287,-0.066371239721775,0.0848401710391044,0.0201841220259666,0.0345599502325058,-0.0524343401193618,0.1126974001526832,0.0572081245481967,0.1397292912006378,-0.1199660524725914,-0.0881757885217666,0.0332064256072044,0.0412186905741691,0.0183774344623088,0.0836455523967742,0.0485688149929046,0.0538623929023742,-0.0205965582281351,-0.1153043136000633,0.0801785141229629,-0.1396796703338623,-0.0371184013783931,0.07320087403059,-0.0094698835164308,0.0905337631702423,-0.1073449477553367,0.0887778997421264,0.0501646250486373,-0.0482029467821121,-0.1211735308170318,-0.100236177444458,0.1016221791505813,0.0557164773344993,-0.1019741296768188,0.1339070498943328,-0.1389993876218795,0.1211890652775764,0.1369903534650802,-0.0733344033360481,0.1159797832369804,-0.1064293831586837,-0.1184261217713356,0.1196376010775566,0.1306780725717544,0.0703627988696098,0.0471629500389099,-0.0583578869700431,-0.090712696313858,0.0152177847921848,-0.0965218767523765,-0.1378676295280456,0.0379221364855766,0.0753993988037109,0.0588393099606037,0.1318718791007995,0.1303160935640335,0.0186199229210615,-0.0867554917931556,-0.0397314094007015,-0.0622149296104908,0.1215089410543441,-0.036244198679924,-0.0030441558919847,0.0038162833079695,-0.1006209030747413,0.1285215616226196,0.0368667840957641,-0.0687846913933754,-0.0882385149598121,-0.0939902514219284,-0.1385386735200882,0.0436861366033554,0.1367020159959793,0.0853673070669174,-0.1358525604009628,0.120876133441925,-0.1014066785573959,-0.1310536861419677,0.0530524030327796,-0.0497059673070907,-0.0195977371186018,0.0599009506404399,0.0591351501643657,0.1353234052658081,0.1279095113277435,-0.0969487652182579,-0.0497140474617481,0.081664077937603,0.0855926573276519,-0.0429590977728366,-0.0383995734155178,-0.1072816252708435,-0.0489232055842876,-0.1294627636671066,-0.0777133032679557,0.0518202483654022,-0.0647468864917755,0.1227529346942901,0.1256731301546096,0.0113056441769003
ag,-0.0958981737494468,0.0721317678689956,0.0914095714688301,0.0135293239727616,0.0693785175681114,-0.0717448368668556,-0.0773953348398208,0.104413628578186,-0.0156447812914848,-0.1148484870791435,-0.0608398355543613,-0.0191912185400724,-0.1181271225214004,-0.0047164116986095,0.0503994673490524,0.0588192008435726,-0.0671497508883476,0.0647520124912262,0.0771496817469596,0.0456637926399707,0.1394503265619278,0.0364184267818927,-0.083825021982193,-0.0805284604430198,-0.1397081017494201,-0.0084639191627502,-0.1223566234111785,0.1315420717000961,-0.131076842546463,-0.0663690045475959,0.0848425179719924,0.0201810467988252,0.0345538184046745,-0.0524384155869483,0.1126971170306205,0.0572056397795677,0.1397272944450378,-0.1199653521180152,-0.0881740748882293,0.0332078486680984,0.0412147417664527,0.0183796323835849,0.083646722137928,0.0485691577196121,0.053864985704422,-0.0205977503210306,-0.115306943655014,0.0801767706871032,-0.1396779865026474,-0.0371206104755401,0.073201835155487,-0.0094712441787123,0.0905348062515258,-0.1073449552059173,0.0887760072946548,0.050166193395853,-0.0482074692845344,-0.1211668252944946,-0.1002396270632743,0.101622350513935,0.0557137168943882,-0.1019756942987442,0.1339106559753418,-0.1389952898025512,0.1211901009082794,0.1369879394769668,-0.0733327344059944,0.1159800440073013,-0.1064262464642524,-0.1184300407767295,0.1196338832378387,0.1306766867637634,0.0703596770763397,0.0471628569066524,-0.0583584904670715,-0.0907092317938804,0.0152185000479221,-0.0965187177062034,-0.1378699094057083,0.0379228256642818,0.0753944292664527,0.0588411651551723,0.1318691819906234,0.1303165555000305,0.0186170674860477,-0.0867531150579452,-0.0397265031933784,-0.0622100085020065,0.121517539024353,-0.036241952329874,-0.0030470816418528,0.0038158278912305,-0.1006206348538398,0.1285239458084106,0.0368669964373111,-0.0687867626547813,-0.0882418304681778,-0.0939928293228149,-0.1385406404733657,0.0436854995787143,0.1366991549730301,0.0853659361600875,-0.1358542144298553,0.1208762228488922,-0.1014088094234466,-0.1310498863458633,0.0530497469007968,-0.0497053302824497,-0.0195968933403491,0.0598945207893848,0.0591364502906799,0.1353232711553573,0.1279110163450241,-0.0969443693757057,-0.0497149899601936,0.0816611796617508,0.0855903029441833,-0.0429607853293418,-0.0383992977440357,-0.1072859168052673,-0.0489228330552578,-0.1294657588005066,-0.0777130126953125,0.0518229454755783,-0.0647454261779785,0.1227580830454826,0.1256719529628753,0.0113052716478705
ag,-0.0958979502320289,0.0721369162201881,0.0914132595062255,0.0135241681709885,0.0693695098161697,-0.0717390775680542,-0.0773989930748939,0.1044084504246711,-0.0156474635004997,-0.1148468405008316,-0.060831531882286,-0.0191843621432781,-0.1181304901838302,-0.0047062844969332,0.0504124239087104,0.0588252805173397,-0.0671422854065895,0.0647524744272232,0.0771409794688224,0.0456575229763984,0.1394466459751129,0.0364188440144062,-0.0838280096650123,-0.0805184692144393,-0.1396985203027725,-0.0084671024233102,-0.1223676577210426,0.1315521001815796,-0.1310809999704361,-0.0663515031337738,0.0848450735211372,0.0201877076178789,0.034559030085802,-0.0524273663759231,0.1126935333013534,0.0572126396000385,0.1397308856248855,-0.1199629008769989,-0.088179163634777,0.0332037210464477,0.0412148535251617,0.0183918345719575,0.0836381688714027,0.0485780872404575,0.0538723766803741,-0.0205943640321493,-0.1153028160333633,0.0801878422498703,-0.1396863460540771,-0.0371113047003746,0.0732000321149826,-0.0094711864367127,0.0905351638793945,-0.1073466762900352,0.0887760370969772,0.0501752756536006,-0.0482041351497173,-0.12117251008749,-0.1002450883388519,0.1016236320137977,0.0557092577219009,-0.1019709035754203,0.1339108347892761,-0.1389992833137512,0.121178314089775,0.1369862556457519,-0.0733256042003631,0.1159778833389282,-0.1064187139272689,-0.1184236332774162,0.1196472570300102,0.130675807595253,0.0703691840171814,0.047165211290121,-0.0583494827151298,-0.0907133743166923,0.0152068780735135,-0.0965233296155929,-0.137859046459198,0.0379120633006095,0.0754000097513198,0.0588345490396022,0.1318742483854293,0.1303204745054245,0.0186197776347398,-0.0867663249373436,-0.0397316552698612,-0.0622085370123386,0.1215186491608619,-0.0362442396581172,-0.0030422222334891,0.0038117910735309,-0.1006162390112876,0.128523051738739,0.036883920431137,-0.0687913373112678,-0.0882399380207061,-0.0939862802624702,-0.1385437995195388,0.0436903610825538,0.1367071121931076,0.0853780135512352,-0.1358514428138733,0.1208760663866996,-0.1014126241207122,-0.1310363709926605,0.0530386865139007,-0.0496983714401721,-0.0195941925048828,0.059895034879446,0.0591351017355918,0.1353226751089096,0.1278986483812332,-0.0969464406371116,-0.0497134439647197,0.0816646516323089,0.0855931788682937,-0.0429647527635097,-0.0384102165699005,-0.1072925627231597,-0.0489228069782257,-0.1294673085212707,-0.0777230188250541,0.0518153049051761,-0.0647443160414695,0.1227514371275901,0.1256668120622635,0.011317859403789
ag,-0.0958994850516319,0.0721447542309761,0.0914103090763092,0.0135222831740975,0.0693638026714325,-0.0717361941933631,-0.0773911029100418,0.104407750070095,-0.0156447514891624,-0.1148421093821525,-0.0608269274234771,-0.0191802941262722,-0.1181355416774749,-0.0047004907391965,0.0504157170653343,0.0588213130831718,-0.0671423450112342,0.0647492781281471,0.0771437808871269,0.0456550233066082,0.139448657631874,0.0364202857017517,-0.0838243439793586,-0.0805099457502365,-0.1396917551755905,-0.0084719052538275,-0.1223673820495605,0.1315526515245437,-0.1310838907957077,-0.0663490816950798,0.0848380252718925,0.020182391628623,0.0345657654106617,-0.0524232871830463,0.1127003282308578,0.0572167076170444,0.1397331357002258,-0.1199651136994361,-0.0881869941949844,0.0332013480365276,0.0412186197936534,0.0183935724198818,0.0836347043514251,0.0485689155757427,0.0538672655820846,-0.0205972287803888,-0.1153020784258842,0.0801909044384956,-0.1396898776292801,-0.0371088869869709,0.0731975138187408,-0.0094666723161935,0.0905337557196617,-0.1073455065488815,0.0887775719165802,0.0501739382743835,-0.0482040420174598,-0.1211781427264213,-0.1002349779009819,0.1016212627291679,0.0557141602039337,-0.101979374885559,0.1339029818773269,-0.1389935761690139,0.1211780458688736,0.1369959563016891,-0.0733271017670631,0.115973375737667,-0.1064128503203392,-0.1184260100126266,0.1196474879980087,0.1306766122579574,0.0703705623745918,0.047156311571598,-0.0583456009626388,-0.0907201692461967,0.0152129903435707,-0.0965204536914825,-0.137854591012001,0.0379190705716609,0.0754023641347885,0.0588344521820545,0.1318796128034591,0.1303179860115051,0.018617570400238,-0.0867634639143943,-0.0397321283817291,-0.0622077248990535,0.12151700258255,-0.0362457856535911,-0.0030431544873863,0.0038169522304087,-0.1006225645542144,0.128522589802742,0.0368796773254871,-0.0687997341156005,-0.088236004114151,-0.0939888134598732,-0.1385469287633896,0.0436864234507083,0.1367216855287552,0.0853767767548561,-0.1358437091112136,0.120874099433422,-0.101407766342163,-0.1310383826494217,0.053037978708744,-0.0497018061578273,-0.0195943098515272,0.0598969236016273,0.0591367296874523,0.1353289186954498,0.1278893500566482,-0.0969447717070579,-0.0497142039239406,0.0816678702831268,0.085594542324543,-0.0429622568190097,-0.038412220776081,-0.1072911694645881,-0.0489180870354175,-0.1294705718755722,-0.0777266100049018,0.0518030077219009,-0.0647431090474128,0.1227632090449333,0.1256669908761978,0.0113172642886638
ag,-0.0958919152617454,0.0721400380134582,0.0914178937673568,0.0135296303778886,0.0693700388073921,-0.071727804839611,-0.0773964673280716,0.1044045537710189,-0.0156457014381885,-0.1148429811000824,-0.060834527015686,-0.0191804375499486,-0.1181330606341362,-0.0047038602642714,0.0504056401550769,0.0588251613080501,-0.0671504139900207,0.0647469088435173,0.077147476375103,0.0456513017416,0.1394512951374054,0.0364244878292083,-0.0838291272521019,-0.0805158242583274,-0.1397077292203903,-0.008473533205688,-0.1223630905151367,0.1315550357103347,-0.1310829818248748,-0.0663397833704948,0.0848346650600433,0.0201801005750894,0.0345582775771617,-0.0524311810731887,0.1126966997981071,0.0572103410959243,0.1397438198328018,-0.1199607402086258,-0.088185966014862,0.0331987850368022,0.0412154346704483,0.0183939654380083,0.0836395248770713,0.048569343984127,0.053871426731348,-0.020599078387022,-0.1153037026524543,0.0801852792501449,-0.1396879106760025,-0.0371198095381259,0.0732022821903228,-0.0094709452241659,0.0905252173542976,-0.107346124947071,0.0887845382094383,0.0501694008708,-0.0482083968818187,-0.1211683377623558,-0.1002432852983474,0.1016184836626052,0.0557124428451061,-0.1019662767648696,0.1339131295680999,-0.1389974504709243,0.1211782619357109,0.1369909793138504,-0.0733277648687362,0.1159773096442222,-0.1064208447933197,-0.1184289902448654,0.1196343749761581,0.1306716501712799,0.0703658834099769,0.047158770263195,-0.0583377555012702,-0.0907137542963028,0.0152196632698178,-0.0965208560228347,-0.13785220682621,0.0379183143377304,0.075391761958599,0.0588356591761112,0.1318795084953308,0.1303236186504364,0.0186190344393253,-0.0867629945278167,-0.039726223796606,-0.0622097477316856,0.1215167716145515,-0.03624003008008,-0.003053116146475,0.0038102059625089,-0.10062225908041,0.1285294294357299,0.0368878953158855,-0.06879872828722,-0.0882287248969078,-0.0939997807145118,-0.1385514885187149,0.0436906516551971,0.1367136985063552,0.0853682234883308,-0.1358343958854675,0.1208725944161415,-0.1014138683676719,-0.1310333460569381,0.0530441738665103,-0.0496973544359207,-0.0195952001959085,0.059896744787693,0.0591328404843807,0.1353270262479782,0.1278960853815078,-0.0969433709979057,-0.0497139319777488,0.08167215436697,0.0855876505374908,-0.0429749712347984,-0.0384086184203624,-0.1073046848177909,-0.0489213317632675,-0.1294702291488647,-0.0777324810624122,0.0518005937337875,-0.0647427290678024,0.1227494478225708,0.1256672590970993,0.011319275945425
ag,-0.0958927869796752,0.0721328407526016,0.0914094448089599,0.0135275796055793,0.0693815872073173,-0.0717329084873199,-0.0773954540491104,0.1044097244739532,-0.0156477596610784,-0.114850252866745,-0.0608276054263114,-0.0191832240670919,-0.1181292906403541,-0.0047162715345621,0.0504085980355739,0.0588236525654792,-0.0671384036540985,0.0647490918636322,0.0771494284272193,0.0456577241420745,0.1394516676664352,0.036422986537218,-0.0838297829031944,-0.0805297344923019,-0.1397115290164947,-0.0084678595885634,-0.1223634034395217,0.1315551549196243,-0.1310861408710479,-0.0663602873682975,0.08484548330307,0.0201779212802648,0.0345594435930252,-0.0524343661963939,0.112706758081913,0.0572124160826206,0.1397362947463989,-0.1199631914496421,-0.0881818309426307,0.033202689141035,0.0412128493189811,0.0183852389454841,0.0836381986737251,0.0485692583024501,0.0538712479174137,-0.020600326359272,-0.1153056398034095,0.0801881551742553,-0.1396806389093399,-0.0371169857680797,0.0732036978006362,-0.0094735836610198,0.0905281454324722,-0.1073432192206382,0.0887731164693832,0.0501744262874126,-0.0482082739472389,-0.1211764365434646,-0.1002406701445579,0.1016235202550888,0.0557134374976158,-0.1019664481282234,0.1339133083820343,-0.1389958262443542,0.1211816444993019,0.1369832456111908,-0.0733321905136108,0.1159777417778968,-0.1064202114939689,-0.1184198856353759,0.1196420416235923,0.1306740045547485,0.0703608989715576,0.0471665225923061,-0.0583476796746254,-0.0907085910439491,0.0152204213663935,-0.096520647406578,-0.137862280011177,0.0379160866141319,0.0753858089447021,0.0588423311710357,0.1318763792514801,0.1303218156099319,0.0186232384294271,-0.0867600888013839,-0.039727609604597,-0.0622113086283206,0.1215091198682785,-0.0362346395850181,-0.0030452432110905,0.0038186323363333,-0.1006165668368339,0.1285227835178375,0.0368763729929924,-0.0687897577881813,-0.0882393196225166,-0.0939922779798507,-0.1385457068681717,0.0436884313821792,0.1367112398147583,0.0853754803538322,-0.1358470022678375,0.120877593755722,-0.1014161482453346,-0.1310385018587112,0.0530383586883544,-0.0496994145214557,-0.019593272358179,0.0598955079913139,0.0591336078941822,0.1353253275156021,0.1279062181711197,-0.0969417467713356,-0.0497165136039257,0.0816623419523239,0.0855921730399131,-0.0429672338068485,-0.0384055636823177,-0.1072862520813942,-0.0489191450178623,-0.1294650733470916,-0.0777189135551452,0.0518127493560314,-0.0647447109222412,0.1227417290210723,0.1256661862134933,0.0113145438954234
ag,-0.0958947017788887,0.0721238180994987,0.09141855686903,0.0135132065042853,0.0693708211183548,-0.071743756532669,-0.077397920191288,0.1044087931513786,-0.0156452599912881,-0.1148393973708152,-0.0608351416885852,-0.0192131977528333,-0.1181093826889991,-0.0047124018892645,0.0504129268229007,0.0588213205337524,-0.0671450346708297,0.0647466257214546,0.0771578401327133,0.0456630587577819,0.1394513547420501,0.0364138334989547,-0.0838293582201004,-0.0805226191878318,-0.1397049278020858,-0.0084768384695053,-0.1223664581775665,0.1315508633852005,-0.1310708820819854,-0.066372312605381,0.0848474726080894,0.0201761405915021,0.0345576629042625,-0.0524296723306179,0.1127064079046249,0.0572054274380207,0.1397387087345123,-0.1199565604329109,-0.0881729051470756,0.0332073755562305,0.0412212610244751,0.0183855090290308,0.0836483612656593,0.0485613010823726,0.0538587868213653,-0.020597955211997,-0.1153034642338752,0.080181784927845,-0.1396736204624176,-0.0371172279119491,0.0731866434216499,-0.0094674946740269,0.090531051158905,-0.1073436364531517,0.0887735188007354,0.0501672402024269,-0.0482081174850463,-0.1211697608232498,-0.1002271026372909,0.1016273275017738,0.0557184070348739,-0.1019643172621727,0.1339087635278701,-0.1389997154474258,0.1211951673030853,0.1369894444942474,-0.0733360946178436,0.1159715056419372,-0.1064329892396926,-0.1184158027172088,0.1196490675210952,0.130667045712471,0.0703720673918724,0.0471623726189136,-0.0583492368459701,-0.0907279998064041,0.0152182821184396,-0.096524603664875,-0.137859433889389,0.0379251167178154,0.0753943547606468,0.0588393360376358,0.1318708211183548,0.1303105652332306,0.0186125077307224,-0.0867490172386169,-0.0397360250353813,-0.062206283211708,0.1215134859085083,-0.03624077886343,-0.0030411421321332,0.0038119116798043,-0.1006268188357353,0.128517284989357,0.0368828512728214,-0.0687933042645454,-0.088224858045578,-0.0939991697669029,-0.1385425180196762,0.0436792038381099,0.1367140561342239,0.0853567346930503,-0.1358557641506195,0.1208740323781967,-0.1014120206236839,-0.1310560852289199,0.0530471764504909,-0.0497235096991062,-0.0195942092686891,0.0599066242575645,0.0591386295855045,0.1353313624858856,0.127902016043663,-0.0969429761171341,-0.0497030317783355,0.0816730037331581,0.0855875760316848,-0.0429656505584716,-0.0384065061807632,-0.107289433479309,-0.0489161051809787,-0.1294583827257156,-0.0777287557721138,0.0518185049295425,-0.0647399872541427,0.1227597221732139,0.1256787031888961,0.0112971076741814
ag,-0.0959005802869796,0.0721320062875747,0.0914083048701286,0.013510356657207,0.0693727880716323,-0.0717372670769691,-0.077389121055603,0.1044032201170921,-0.0156474579125642,-0.1148449257016182,-0.0608423389494419,-0.0192004311829805,-0.1181146129965782,-0.0047093322500586,0.0504085160791873,0.0588152557611465,-0.0671552196145057,0.0647441297769546,0.0771581456065177,0.0456612035632133,0.1394532769918441,0.0364076979458332,-0.0838217958807945,-0.08052958548069,-0.1397161781787872,-0.0084692128002643,-0.1223617270588874,0.1315341889858245,-0.131080687046051,-0.0663729310035705,0.0848392471671104,0.0201846063137054,0.0345657393336296,-0.0524381287395954,0.1127089336514473,0.0572005994617939,0.1397349536418914,-0.1199644804000854,-0.0881727337837219,0.0332133546471595,0.0412212386727333,0.0183829329907894,0.0836420804262161,0.048566598445177,0.0538699403405189,-0.0205929726362228,-0.1152985170483589,0.0801756381988525,-0.1396751552820205,-0.037126749753952,0.0731923505663871,-0.0094741312786936,0.0905448943376541,-0.1073461771011352,0.0887644290924072,0.0501704327762126,-0.0482106879353523,-0.1211735606193542,-0.1002358272671699,0.1016268208622932,0.0557087399065494,-0.1019674912095069,0.1339156776666641,-0.1389876455068588,0.1211907118558883,0.136990413069725,-0.0733234286308288,0.1159821599721908,-0.1064389795064926,-0.1184292659163475,0.1196316629648208,0.1306782513856887,0.0703649967908859,0.0471636913716793,-0.0583567172288894,-0.0907225012779235,0.015222786925733,-0.0965143740177154,-0.1378758400678634,0.037931639701128,0.0753902420401573,0.058848287910223,0.1318736672401428,0.1303020417690277,0.0186010915786027,-0.0867544263601303,-0.0397360734641552,-0.0621952153742313,0.1215199530124664,-0.0362354293465614,-0.0030413011554628,0.0038141258992254,-0.1006324589252471,0.1285267472267151,0.0368806049227714,-0.0687892809510231,-0.0882268697023391,-0.0939847454428672,-0.1385321766138076,0.0436784550547599,0.1367047727108001,0.0853570699691772,-0.1358556598424911,0.1208715364336967,-0.101408340036869,-0.1310499459505081,0.0530403405427932,-0.0497256964445114,-0.0195938199758529,0.0599058903753757,0.0591351352632045,0.1353228837251663,0.1279104948043823,-0.0969452261924743,-0.0497174300253391,0.0816682800650596,0.0856008678674697,-0.0429625585675239,-0.0384099632501602,-0.1072780042886734,-0.0489212907850742,-0.1294583678245544,-0.0777258798480033,0.0518316030502319,-0.0647331699728965,0.1227521002292633,0.1256807893514633,0.0112979747354984
